variant,input_pauli,choi_output,known_output,exact_match
direct,XIIII,+_X___,+_X___,True
direct,YIIII,NOT_FOUND,+_Y___,False
direct,ZIIII,+_Z___,+_Z___,True
direct,IXIII,+__X__,+__X__,True
direct,IYIII,NOT_FOUND,+__Y__,False
direct,IZIII,+__Z__,+__Z__,True
direct,IIXII,+___X_,+___X_,True
direct,IIYII,NOT_FOUND,+___Y_,False
direct,IIZII,+___Z_,+___Z_,True
direct,IIIXI,+____X,+____X,True
direct,IIIYI,NOT_FOUND,+____Y,False
direct,IIIZI,+____Z,+____Z,True
direct,IIIIX,+X____,+X____,True
direct,IIIIY,NOT_FOUND,+Y____,False
direct,IIIIZ,+Z____,+Z____,True
transpose,XIIII,+_X___,+_X___,True
transpose,YIIII,+_Y___,+_Y___,True
transpose,ZIIII,+_Z___,+_Z___,True
transpose,IXIII,+__X__,+__X__,True
transpose,IYIII,+__Y__,+__Y__,True
transpose,IZIII,+__Z__,+__Z__,True
transpose,IIXII,+___X_,+___X_,True
transpose,IIYII,+___Y_,+___Y_,True
transpose,IIZII,+___Z_,+___Z_,True
transpose,IIIXI,+____X,+____X,True
transpose,IIIYI,+____Y,+____Y,True
transpose,IIIZI,+____Z,+____Z,True
transpose,IIIIX,+X____,+X____,True
transpose,IIIIY,+Y____,+Y____,True
transpose,IIIIZ,+Z____,+Z____,True
conjugate,XIIII,+_X___,+_X___,True
conjugate,YIIII,+_Y___,+_Y___,True
conjugate,ZIIII,+_Z___,+_Z___,True
conjugate,IXIII,+__X__,+__X__,True
conjugate,IYIII,+__Y__,+__Y__,True
conjugate,IZIII,+__Z__,+__Z__,True
conjugate,IIXII,+___X_,+___X_,True
conjugate,IIYII,+___Y_,+___Y_,True
conjugate,IIZII,+___Z_,+___Z_,True
conjugate,IIIXI,+____X,+____X,True
conjugate,IIIYI,+____Y,+____Y,True
conjugate,IIIZI,+____Z,+____Z,True
conjugate,IIIIX,+X____,+X____,True
conjugate,IIIIY,+Y____,+Y____,True
conjugate,IIIIZ,+Z____,+Z____,True
