case_id,category,local_index,expected_valid,observed_valid,expected_first_control,observed_first_control,expected_control_hit,false_accept,false_reject,clean_rejection,artifact_hash,elapsed_seconds,detail
invalid-semantic_hash-0000,semantic_hash,0,False,False,semantic_problem_hash,semantic_problem_hash,True,False,False,True,c51d8f7adce57d7003ffc46567461d3caee4f26ab5b6c5ac13181b2ddbe00a61,0.075393000,artifact source hash matches independently canonicalized problem
invalid-semantic_hash-0001,semantic_hash,1,False,False,semantic_problem_hash,semantic_problem_hash,True,False,False,True,5c51334193a5063b666875b3513be2e224a9b508865cb2d1b70537266635e513,0.075498583,artifact source hash matches independently canonicalized problem
invalid-semantic_hash-0002,semantic_hash,2,False,False,semantic_problem_hash,semantic_problem_hash,True,False,False,True,46297d4ee4233dcbdee3c5129ce4a43873b2000151a0f7c4561acceaf1cb5a03,0.074860500,artifact source hash matches independently canonicalized problem
invalid-semantic_hash-0003,semantic_hash,3,False,False,semantic_problem_hash,semantic_problem_hash,True,False,False,True,64eb1136eacdbafff6e15ea311945d8cff4ebac4beaf40754ab595e1019894ee,0.075579250,artifact source hash matches independently canonicalized problem
invalid-semantic_hash-0004,semantic_hash,4,False,False,semantic_problem_hash,semantic_problem_hash,True,False,False,True,0e186a13b8c06422b9860db7bff688e915f3d61a4ff042cf627935d5219d31f4,0.074160875,artifact source hash matches independently canonicalized problem
invalid-semantic_hash-0005,semantic_hash,5,False,False,semantic_problem_hash,semantic_problem_hash,True,False,False,True,30232fed6e78573673a0a24e9f00e757c1e37c864cc4030aaa2efa0a50174090,0.074964792,artifact source hash matches independently canonicalized problem
invalid-semantic_hash-0006,semantic_hash,6,False,False,semantic_problem_hash,semantic_problem_hash,True,False,False,True,ca27d0270bc3cfbc9ff5eacc28e875347ca83db9d198fceec3b2ed43e7adf82a,0.074612959,artifact source hash matches independently canonicalized problem
invalid-semantic_hash-0007,semantic_hash,7,False,False,semantic_problem_hash,semantic_problem_hash,True,False,False,True,891276841fc26fb05cad93a793ae955e69004e932ad4b7527b32baf38e23169b,0.075621458,artifact source hash matches independently canonicalized problem
invalid-semantic_hash-0008,semantic_hash,8,False,False,semantic_problem_hash,semantic_problem_hash,True,False,False,True,88143eb7be5faba97e98ad81f23bec20a53707b9dd0767518ffad82c73d3d181,0.076024709,artifact source hash matches independently canonicalized problem
invalid-semantic_hash-0009,semantic_hash,9,False,False,semantic_problem_hash,semantic_problem_hash,True,False,False,True,cbc6fa1138a470ca5433954564217ac15713aca7c6753cce466a9e564ec56eea,0.075099500,artifact source hash matches independently canonicalized problem
invalid-semantic_hash-0010,semantic_hash,10,False,False,semantic_problem_hash,semantic_problem_hash,True,False,False,True,2ac713d3a0624657a0bb8112dbe3deb5445c14c17b89d553819ff090364054b0,0.075925959,artifact source hash matches independently canonicalized problem
invalid-semantic_hash-0011,semantic_hash,11,False,False,semantic_problem_hash,semantic_problem_hash,True,False,False,True,56bcb979b11de9842d0ffba4af0945a4e71f9e49a8856a077ba56b3cff0df323,0.076615792,artifact source hash matches independently canonicalized problem
invalid-semantic_hash-0012,semantic_hash,12,False,False,semantic_problem_hash,semantic_problem_hash,True,False,False,True,ebf7212ec5ee0564e5b36ed5aaba35449065e32004dcf2ac54c5feea48b6100c,0.076135792,artifact source hash matches independently canonicalized problem
invalid-semantic_hash-0013,semantic_hash,13,False,False,semantic_problem_hash,semantic_problem_hash,True,False,False,True,897a3cc8ffa6372be64a760f670f5632774dd774c81c387d39e0824d147ec2e6,0.075346708,artifact source hash matches independently canonicalized problem
invalid-semantic_hash-0014,semantic_hash,14,False,False,semantic_problem_hash,semantic_problem_hash,True,False,False,True,b591611a4848cc942a714b911ab244a09303cc7816f0e8c22d3712068e6b161f,0.074678375,artifact source hash matches independently canonicalized problem
invalid-semantic_hash-0015,semantic_hash,15,False,False,semantic_problem_hash,semantic_problem_hash,True,False,False,True,218c5f6fcef742122cab2342abc561fa39d9bed19668b2ae711150e59648afaf,0.075692583,artifact source hash matches independently canonicalized problem
invalid-semantic_hash-0016,semantic_hash,16,False,False,semantic_problem_hash,semantic_problem_hash,True,False,False,True,78fce583af2df459a00793537477ab9a7422550f320435a38c9fff5f28ee1b2e,0.075801250,artifact source hash matches independently canonicalized problem
invalid-semantic_hash-0017,semantic_hash,17,False,False,semantic_problem_hash,semantic_problem_hash,True,False,False,True,cf60e3ea02cb40b96c80944409896064b9c33e758fe33cc61d712f5701372a88,0.075528958,artifact source hash matches independently canonicalized problem
invalid-semantic_hash-0018,semantic_hash,18,False,False,semantic_problem_hash,semantic_problem_hash,True,False,False,True,17ec978e461e4978e6b81b29f83ad495f50983b32cf043421c237d32fb8310eb,0.075773167,artifact source hash matches independently canonicalized problem
invalid-semantic_hash-0019,semantic_hash,19,False,False,semantic_problem_hash,semantic_problem_hash,True,False,False,True,b572a59ae893684cfd2f817f46d4677949e729a18fff4c0e8bfd4a00cd38eab3,0.074943250,artifact source hash matches independently canonicalized problem
invalid-semantic_hash-0020,semantic_hash,20,False,False,semantic_problem_hash,semantic_problem_hash,True,False,False,True,8f221c2b3d3b0ddd18fbc3291b0ae5a40589db6da532de1e7883d38f2ef34f8f,0.075837917,artifact source hash matches independently canonicalized problem
invalid-semantic_hash-0021,semantic_hash,21,False,False,semantic_problem_hash,semantic_problem_hash,True,False,False,True,7b144ddcfd97a27026aa536d658b0344a051a5b84d768774c1bb5d36a0e82997,0.076171625,artifact source hash matches independently canonicalized problem
invalid-semantic_hash-0022,semantic_hash,22,False,False,semantic_problem_hash,semantic_problem_hash,True,False,False,True,ab130ad8f998861f634630f74480bcb70e1d2be2d7b906de99d9be0fca46f631,0.076562167,artifact source hash matches independently canonicalized problem
invalid-semantic_hash-0023,semantic_hash,23,False,False,semantic_problem_hash,semantic_problem_hash,True,False,False,True,cdce479059da554b05cde7001e5eb3b906649099c33efd0d9141f728e57f4062,0.076197834,artifact source hash matches independently canonicalized problem
invalid-semantic_hash-0024,semantic_hash,24,False,False,semantic_problem_hash,semantic_problem_hash,True,False,False,True,674b9270513335f1a4c2c2e2f44043228081e2869b53abf96aa8ed61d62961e8,0.077273125,artifact source hash matches independently canonicalized problem
invalid-semantic_hash-0025,semantic_hash,25,False,False,semantic_problem_hash,semantic_problem_hash,True,False,False,True,442dec4d09458966cc2aa97bd4ed0be3c7484f50294f56dea41782f943df1a48,0.077532667,artifact source hash matches independently canonicalized problem
invalid-semantic_hash-0026,semantic_hash,26,False,False,semantic_problem_hash,semantic_problem_hash,True,False,False,True,bbe28f99dd79c7e8efe4b334c157a1ac61d77635b487c8db900558655e3de438,0.075963291,artifact source hash matches independently canonicalized problem
invalid-semantic_hash-0027,semantic_hash,27,False,False,semantic_problem_hash,semantic_problem_hash,True,False,False,True,456920b2d2a819c6cbcb55340fe5d256bcab8abb1f4c61f357278acbd6a4d2da,0.074763958,artifact source hash matches independently canonicalized problem
invalid-semantic_hash-0028,semantic_hash,28,False,False,semantic_problem_hash,semantic_problem_hash,True,False,False,True,07846a15dc485f8fefcd9f0d142d8da0629ddeb4d8ab6e6ffd79af6ae253a757,0.075330625,artifact source hash matches independently canonicalized problem
invalid-semantic_hash-0029,semantic_hash,29,False,False,semantic_problem_hash,semantic_problem_hash,True,False,False,True,c7cba2e6edf70df5bd036187df424afd134a6deb96499e669987678be44348e0,0.075575041,artifact source hash matches independently canonicalized problem
invalid-semantic_hash-0030,semantic_hash,30,False,False,semantic_problem_hash,semantic_problem_hash,True,False,False,True,3c90dde4e74c3daf9de61581beefc56ed93d18acf28aa430ce5adac66724909f,0.074939334,artifact source hash matches independently canonicalized problem
invalid-semantic_hash-0031,semantic_hash,31,False,False,semantic_problem_hash,semantic_problem_hash,True,False,False,True,ba992f7aca9e9d16f7dbdd729b0300e04f4fe848f174d3c2a991c181ac2ac1f5,0.075412167,artifact source hash matches independently canonicalized problem
invalid-semantic_hash-0032,semantic_hash,32,False,False,semantic_problem_hash,semantic_problem_hash,True,False,False,True,103f48e872e81d444f788341bcd27a627114d5d7529b86c14753119727d34918,0.075865791,artifact source hash matches independently canonicalized problem
invalid-semantic_hash-0033,semantic_hash,33,False,False,semantic_problem_hash,semantic_problem_hash,True,False,False,True,36182f1c5776ce6bffc1d14867d4df120fb0d4abbee5b300d2e9ef179e80b1d9,0.075154500,artifact source hash matches independently canonicalized problem
invalid-semantic_hash-0034,semantic_hash,34,False,False,semantic_problem_hash,semantic_problem_hash,True,False,False,True,12ef3e3ab2c12d8a0360d87a3b924a4f4666693e3f1ac6f0ff5f62cd0a3dbc08,0.075965625,artifact source hash matches independently canonicalized problem
